id,category,turn_1_score,turn_2_score,turn_3_score,turn_4_score
0,1,1,3,3,3
1,1,1,3,2,3
2,1,3,1,1,1
3,1,1,1,1,1
4,1,1,2,3,2
5,1,1,3,2,3
6,1,2,1,1,1
7,1,5,1,1,2
8,1,1,1,2,3
9,1,1,4,5,5
10,1,1,1,2,3
11,1,1,2,3,3
12,1,1,3,3,3
13,1,1,1,3,1
14,1,1,3,3,3
15,1,1,3,2,3
16,1,1,3,3,3
17,1,1,1,2,1
18,1,1,3,3,3
19,1,1,3,3,3
20,1,1,5,1,1
21,1,1,2,3,2
22,1,1,3,3,2
23,1,1,3,1,1
24,1,1,3,3,3
25,1,2,2,3,1
26,1,1,2,3,3
27,1,1,3,3,3
28,1,1,3,3,2
29,1,1,1,3,3
30,1,3,3,3,3
31,1,1,3,2,3
32,1,1,3,3,3
33,1,1,1,1,1
34,1,1,2,1,1
35,1,1,2,2,2
36,1,1,1,1,3
37,1,1,1,2,2
38,1,1,1,3,2
39,1,1,3,3,2
40,1,1,3,3,3
41,1,1,1,1,1
42,1,1,3,2,1
43,1,1,1,4,3
44,1,1,3,3,2
45,1,1,1,2,1
46,1,1,1,1,1
47,1,1,1,1,2
48,1,1,5,3,1
49,1,1,3,3,3
50,1,1,2,3,2
51,1,1,3,3,3
52,1,2,1,3,2
53,1,1,1,1,1
54,1,2,2,3,3
55,1,1,2,1,1
56,1,1,1,3,3
57,1,1,2,2,3
58,1,1,3,3,1
59,1,1,3,3,3
60,1,1,3,3,2
61,1,1,1,1,1
62,1,1,1,3,3
63,1,1,1,1,1
64,1,1,3,3,3
65,1,1,1,1,2
66,1,1,1,3,3
67,1,1,1,3,3
68,1,1,1,3,1
69,1,4,4,1,2
70,1,1,2,3,2
71,1,1,3,3,3
72,1,1,3,2,2
73,1,1,2,3,3
74,1,1,3,3,3
75,1,1,3,3,3
76,1,1,3,3,2
77,1,1,2,3,3
78,1,1,1,4,1
79,1,1,3,3,2
80,1,1,1,1,3
81,1,1,3,3,2
82,1,1,3,3,3
83,1,1,1,3,3
84,1,1,1,3,3
85,1,1,3,1,1
86,1,3,2,3,3
87,1,1,3,3,3
88,1,1,1,1,1
89,1,1,3,3,3
90,1,1,1,3,3
91,1,1,1,3,1
92,1,3,3,3,3
93,1,1,3,3,2
94,1,1,3,3,3
95,1,1,3,3,3
96,1,3,2,3,3
97,1,1,1,3,3
98,1,1,3,2,3
99,2,3,2,3,2
101,2,2,1,1,3
102,2,3,1,1,1
106,2,2,3,3,3
111,2,3,3,3,3
112,2,1,1,3,1
122,2,2,4,1,3
123,2,3,2,3,2
128,2,3,1,1,1
129,2,3,1,2,1
134,2,1,3,3,3
139,2,2,1,3,3
140,2,3,1,4,3
145,2,3,1,1,2
146,2,3,2,3,2
