id,category,turn_1_score,turn_2_score,turn_3_score,turn_4_score
0,1,1,1,5,1
1,1,1,2,1,1
2,1,1,5,2,1
3,1,1,1,1,1
4,1,1,1,2,2
5,1,1,2,5,1
6,1,1,1,1,2
7,1,5,1,1,2
8,1,1,1,1,2
9,1,1,4,3,4
10,1,1,1,1,2
11,1,1,1,1,1
12,1,1,1,2,2
13,1,1,3,2,3
14,1,1,1,2,3
15,1,1,4,2,2
16,1,1,1,1,1
17,1,1,2,1,1
18,1,1,3,1,1
19,1,1,1,2,3
20,1,1,5,5,3
21,1,1,4,3,3
22,1,1,1,1,3
23,1,1,4,1,1
24,1,1,4,1,1
25,1,1,1,1,1
26,1,1,1,1,2
27,1,1,1,1,1
28,1,1,1,1,1
29,1,1,4,2,1
30,1,1,1,1,2
31,1,1,1,1,1
32,1,1,1,1,3
33,1,1,1,1,3
34,1,1,1,1,1
35,1,2,2,1,1
36,1,1,1,2,3
37,1,1,3,1,3
38,1,1,1,2,1
39,1,1,5,2,2
40,1,1,1,1,1
41,1,1,1,1,2
42,1,1,1,1,2
43,1,1,3,1,1
44,1,1,3,2,3
45,1,1,3,1,2
46,1,1,1,1,1
47,1,1,3,1,2
48,1,1,4,2,3
49,1,1,1,1,3
50,1,1,1,2,1
51,1,1,3,1,2
52,1,2,4,3,3
53,1,1,4,3,2
54,1,2,1,3,2
55,1,3,1,1,1
56,1,1,2,2,3
57,1,1,4,5,3
58,1,1,3,1,3
59,1,1,5,4,5
60,1,1,3,3,2
61,1,1,1,1,1
62,1,1,4,1,3
63,1,1,2,1,1
64,1,1,1,1,1
65,1,1,3,1,1
66,1,1,4,1,1
67,1,1,1,1,1
68,1,1,4,3,2
69,1,4,4,3,3
70,1,1,1,1,1
71,1,1,1,1,1
72,1,1,1,1,2
73,1,1,1,1,1
74,1,1,3,2,3
75,1,1,1,1,3
76,1,1,4,1,3
77,1,1,1,2,1
78,1,1,1,1,1
79,1,1,1,1,2
80,1,1,1,1,1
81,1,1,1,1,1
82,1,1,1,1,1
83,1,1,3,1,3
84,1,1,1,1,1
85,1,1,1,1,1
86,1,3,3,1,3
87,1,1,1,1,2
88,1,1,1,2,1
89,1,1,1,1,1
90,1,1,1,3,3
91,1,1,1,1,3
92,1,3,3,1,1
93,1,1,1,3,2
94,1,1,1,3,3
95,1,1,2,2,1
96,1,3,2,3,3
97,1,1,4,3,3
98,1,1,4,2,1
99,2,2,1,3,1
100,2,3,3,1,3
101,2,2,1,1,2
102,2,2,1,1,1
103,2,3,1,2,2
104,2,3,2,1,1
105,2,2,1,4,3
106,2,3,3,1,3
107,2,2,1,3,2
108,2,3,3,1,2
109,2,3,3,3,1
110,2,3,3,3,3
111,2,3,2,1,3
112,2,2,3,1,1
113,2,3,1,3,1
114,2,3,3,1,1
115,2,3,1,1,1
116,2,3,1,4,1
117,2,2,1,1,1
118,2,3,4,5,5
119,2,3,3,1,4
120,2,3,3,3,3
121,2,3,5,3,2
122,2,3,1,1,3
123,2,3,1,1,1
124,2,2,1,2,1
125,2,3,4,3,4
126,2,3,3,4,4
127,2,3,1,1,1
128,2,3,1,3,2
129,2,3,1,2,1
130,2,3,3,2,3
131,2,3,5,2,2
132,2,3,1,1,1
133,2,3,3,3,3
134,2,2,3,5,1
135,2,1,1,1,2
136,2,3,3,3,3
137,2,3,1,2,1
138,2,3,4,1,1
139,2,2,3,3,3
140,2,3,1,1,1
141,2,3,3,1,2
142,2,4,4,2,2
143,2,3,4,3,3
144,2,3,3,3,3
145,2,3,1,2,1
146,2,3,3,3,5
147,2,3,3,2,4
148,2,3,1,1,3
149,2,3,3,1,1
