id,category,turn_1_score,turn_2_score,turn_3_score,turn_4_score
0,1,1,3,3,5
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,3,3,3
4,1,1,1,1,1
5,1,1,4,5,5
6,1,1,1,2,1
7,1,4,1,3,1
8,1,1,1,1,1
9,1,1,4,4,5
10,1,1,1,3,1
11,1,1,1,3,1
12,1,1,1,2,2
13,1,1,1,3,1
14,1,1,4,5,5
15,1,1,1,3,1
16,1,1,1,3,3
17,1,1,1,1,1
18,1,1,3,2,2
19,1,1,1,3,3
20,1,1,3,3,4
21,1,3,3,5,5
22,1,1,1,1,1
23,1,1,1,3,1
24,1,1,1,1,1
25,1,2,3,3,3
26,1,1,1,1,3
27,1,1,3,1,1
28,1,1,1,4,1
29,1,1,4,5,4
30,1,4,5,5,4
31,1,1,2,3,4
32,1,1,1,1,1
33,1,1,1,1,1
34,1,1,1,1,1
35,1,1,1,1,1
36,1,1,1,1,2
37,1,1,1,3,2
38,1,1,1,2,1
39,1,1,1,1,1
40,1,1,1,2,2
41,1,1,1,1,3
42,1,1,1,1,2
43,1,1,1,2,1
44,1,1,3,1,3
45,1,1,1,2,1
46,1,1,1,3,4
47,1,1,1,1,3
48,1,1,3,4,5
49,1,1,1,4,3
50,1,1,1,1,1
51,1,1,1,1,4
52,1,1,3,5,5
53,1,1,2,3,3
54,1,1,3,3,3
55,1,2,3,4,4
56,1,1,1,1,1
57,1,1,3,1,1
58,1,1,1,1,1
59,1,2,5,5,5
60,1,1,1,2,2
61,1,1,1,2,2
62,1,3,1,3,3
63,1,1,1,2,1
64,1,1,1,3,1
65,1,1,1,2,1
66,1,1,4,4,5
67,1,1,2,3,4
68,1,1,3,1,3
69,1,4,4,1,4
70,1,1,1,1,1
71,1,1,1,1,1
72,1,1,1,3,1
73,1,1,1,1,1
74,1,1,1,1,1
75,1,1,1,1,1
76,1,1,1,1,1
77,1,1,3,1,2
78,1,1,1,1,1
79,1,1,3,3,3
80,1,1,1,1,1
81,1,1,3,1,3
82,1,1,3,3,3
83,1,1,1,1,1
84,1,1,1,1,1
85,1,1,1,1,1
86,1,2,3,3,3
87,1,1,1,1,3
88,1,1,1,2,1
89,1,1,1,3,1
90,1,1,1,1,1
91,1,1,1,1,1
92,1,3,5,4,4
93,1,1,1,1,1
94,1,1,1,1,1
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,3,3,4
98,1,1,1,1,1
99,2,2,3,3,3
100,2,3,3,3,4
101,2,2,3,3,3
102,2,1,3,2,3
103,2,2,3,4,4
104,2,3,4,1,1
105,2,3,3,4,4
106,2,3,3,3,1
107,2,3,4,1,4
108,2,3,3,1,3
109,2,2,2,3,3
110,2,3,4,1,3
111,2,1,3,2,3
112,2,3,1,3,3
113,2,2,3,3,2
114,2,2,3,4,4
115,2,2,3,2,3
116,2,3,3,2,4
117,2,3,3,3,2
118,2,3,3,4,4
119,2,3,3,3,4
120,2,2,3,2,3
121,2,3,3,2,3
122,2,3,3,3,5
123,2,3,1,1,1
124,2,1,2,3,4
125,2,3,3,3,3
126,2,3,3,1,1
127,2,3,3,3,2
128,2,2,3,4,5
129,2,2,3,2,3
130,2,3,3,2,2
131,2,2,3,2,3
132,2,2,3,3,2
133,2,1,3,3,3
134,2,3,3,3,3
135,2,3,1,2,3
136,2,3,3,2,3
137,2,3,3,3,3
138,2,2,4,1,3
139,2,3,4,3,4
140,2,2,3,3,3
141,2,2,4,3,3
142,2,2,3,3,4
143,2,3,4,3,3
144,2,3,3,1,3
145,2,3,3,1,2
146,2,3,3,4,3
147,2,3,1,1,1
148,2,3,3,3,2
149,2,3,3,3,3
150,2,4,3,2,3
151,2,3,3,2,3
152,2,3,3,3,3
153,2,2,3,1,2
154,2,3,2,3,3
155,2,3,2,3,4
156,2,2,3,3,3
157,2,3,3,3,3
158,2,3,4,1,3
159,2,3,3,1,4
160,2,2,3,3,3
161,2,4,4,3,3
162,2,2,3,2,3
163,2,2,3,3,3
164,2,3,3,5,3
165,2,3,3,3,3
166,2,2,3,3,4
167,2,3,2,2,1
168,2,4,4,1,3
169,2,1,2,1,2
170,2,3,3,3,3
171,2,3,3,2,5
172,2,3,4,3,3
173,2,3,1,3,1
174,2,2,3,3,4
175,2,3,3,1,2
176,2,3,2,2,3
177,2,3,3,1,3
178,2,3,4,2,3
179,2,2,3,1,2
180,2,3,3,1,4
181,2,3,2,2,3
182,2,3,4,3,2
183,2,3,1,3,3
184,2,3,4,1,3
185,2,3,3,2,3
186,2,3,3,3,4
187,2,2,3,1,3
188,2,3,3,4,4
189,2,3,3,2,3
190,2,3,3,2,3
191,2,3,3,4,3
192,2,4,4,3,3
193,2,3,3,1,2
194,2,4,5,3,5
195,2,3,2,3,1
196,2,2,3,1,2
197,2,3,3,2,3
198,3,3,4,2,4
199,3,1,5,3,4
200,3,2,3,1,3
201,3,1,2,3,5
202,3,1,2,3,4
203,3,1,1,2,1
204,3,3,3,2,3
205,3,3,1,1,1
206,3,1,3,1,1
207,3,2,2,3,2
208,3,1,1,1,1
209,3,1,1,1,1
210,3,5,3,1,3
211,3,1,3,2,3
212,3,3,5,3,5
213,3,3,1,5,4
214,3,3,2,4,1
215,3,3,2,1,2
216,3,1,1,1,2
217,3,1,3,1,3
218,3,3,4,2,4
219,3,3,4,5,4
220,3,2,3,4,5
221,3,2,5,4,3
222,3,3,1,3,2
223,3,5,5,3,5
224,3,1,2,1,1
225,3,2,1,3,1
226,3,3,1,2,3
227,3,2,3,3,3
228,3,1,2,3,3
229,3,1,1,2,1
